                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3373,                 2.8352,                 1.3864,                0.74754,                0.72975,                0.76999,                0.61454,                0.69375,                 1.1234,                0.99165,               0.070265,              0.0033038,              0.0033038
                      1,                 1.1889,                 1.8625,                 1.2618,                0.82638,                0.84337,                0.89387,                0.71744,                0.70868,                0.84268,                0.98155,                 0.0402,              0.0065715,              0.0065715
                      2,                  1.168,                 1.7303,                 1.1915,                0.86868,                0.83348,                0.88458,                0.68214,                0.76989,                0.84097,                  0.985,               0.010068,              0.0097731,              0.0097731
                      3,                 1.1949,                  1.704,                 1.2018,                0.86697,                0.89317,                0.92252,                0.73316,                 0.7376,                0.76095,                0.96016,               0.009703,               0.009703,               0.009703
                      4,                 1.1813,                  1.663,                 1.1951,                0.89549,                0.82933,                0.88584,                0.67483,                0.85559,                0.80788,                 1.0108,               0.009703,               0.009703,               0.009703
                      5,                 1.1763,                 1.6184,                 1.1816,                0.86072,                0.87745,                0.91285,                0.71276,                0.77606,                0.75778,                0.97674,               0.009604,               0.009604,               0.009604
                      6,                 1.1527,                 1.5912,                 1.1727,                0.91251,                 0.9028,                0.92903,                 0.7393,                0.73055,                0.78765,                0.97235,               0.009505,               0.009505,               0.009505
                      7,                 1.1394,                 1.5668,                 1.1669,                0.90284,                0.91176,                0.92516,                0.74981,                0.73595,                0.65853,                0.95986,               0.009406,               0.009406,               0.009406
                      8,                  1.141,                 1.5189,                 1.1619,                0.89832,                0.91447,                0.94346,                0.76868,                0.69628,                0.59862,                0.94226,               0.009307,               0.009307,               0.009307
                      9,                 1.1166,                 1.5075,                 1.1685,                0.87948,                0.91829,                0.93296,                0.75494,                0.71902,                0.62682,                0.96852,               0.009208,               0.009208,               0.009208
                     10,                  1.092,                 1.4635,                 1.1526,                0.91258,                0.90899,                0.93467,                0.75792,                 0.6945,                0.59922,                 0.9681,               0.009109,               0.009109,               0.009109
                     11,                 1.1014,                  1.452,                  1.151,                0.92031,                0.92244,                0.93448,                0.76112,                0.66679,                0.57157,                0.93984,                0.00901,                0.00901,                0.00901
                     12,                 1.0758,                 1.4063,                 1.1325,                0.91838,                0.93505,                0.94318,                0.76262,                0.72165,                0.59369,                0.95364,               0.008911,               0.008911,               0.008911
                     13,                 1.0688,                 1.3999,                 1.1262,                 0.9209,                0.92745,                0.93856,                0.76239,                0.67744,                0.55331,                0.94123,               0.008812,               0.008812,               0.008812
                     14,                 1.0666,                  1.389,                 1.1286,                0.92202,                0.91152,                0.93971,                0.77436,                0.65527,                0.59559,                0.93545,               0.008713,               0.008713,               0.008713
                     15,                 1.0495,                 1.3845,                 1.1284,                0.92395,                0.92112,                0.93453,                0.76856,                0.66101,                0.57961,                  0.934,               0.008614,               0.008614,               0.008614
                     16,                  1.047,                 1.3677,                 1.1253,                0.91703,                0.93686,                 0.9432,                0.77393,                0.65511,                0.54963,                 0.9358,               0.008515,               0.008515,               0.008515
                     17,                 1.0506,                 1.3497,                 1.1279,                0.92752,                0.93215,                0.95093,                0.78883,                0.65353,                0.51983,                0.93276,               0.008416,               0.008416,               0.008416
                     18,                 1.0356,                 1.3395,                 1.1184,                0.91667,                0.94584,                0.95488,                0.78942,                0.64357,                0.51195,                0.92609,               0.008317,               0.008317,               0.008317
                     19,                 1.0261,                 1.3127,                 1.1129,                0.92132,                 0.9499,                0.94351,                0.78121,                 0.6536,                 0.5065,                0.93438,               0.008218,               0.008218,               0.008218
                     20,                 1.0231,                 1.2954,                 1.1147,                 0.9078,                0.92678,                0.94686,                0.78499,                0.64156,                0.53352,                0.92193,               0.008119,               0.008119,               0.008119
                     21,                 1.0039,                 1.2959,                 1.1038,                0.90943,                 0.9325,                0.95098,                0.79812,                0.63193,                0.52944,                0.91593,                0.00802,                0.00802,                0.00802
                     22,                 1.0138,                 1.2619,                 1.1007,                  0.924,                0.93187,                0.94568,                0.78422,                0.64063,                0.51943,                0.91977,               0.007921,               0.007921,               0.007921
                     23,                 0.9954,                 1.2695,                 1.0956,                0.91592,                 0.9229,                0.95375,                0.79449,                0.63746,                0.51031,                0.92268,               0.007822,               0.007822,               0.007822
                     24,                 1.0032,                  1.249,                 1.0979,                0.91804,                0.91676,                0.94471,                0.78158,                0.63128,                0.53078,                0.91221,               0.007723,               0.007723,               0.007723
                     25,                0.98283,                 1.2101,                  1.094,                 0.9371,                0.92003,                0.94769,                0.79074,                 0.6479,                0.50809,                0.92268,               0.007624,               0.007624,               0.007624
                     26,                0.99504,                 1.1979,                 1.0959,                 0.9414,                0.92648,                0.95472,                0.80367,                0.62054,                 0.4804,                0.91408,               0.007525,               0.007525,               0.007525
                     27,                0.96918,                 1.1854,                 1.0794,                0.93685,                0.93843,                0.95484,                0.80338,                 0.6221,                0.47908,                0.90764,               0.007426,               0.007426,               0.007426
                     28,                 0.9644,                 1.1688,                 1.0856,                0.92425,                0.93603,                0.94148,                0.78674,                0.62737,                0.50261,                0.91351,               0.007327,               0.007327,               0.007327
                     29,                0.95814,                 1.1766,                 1.0736,                0.91853,                0.90656,                0.94584,                0.78713,                0.64137,                0.52657,                0.91101,               0.007228,               0.007228,               0.007228
                     30,                0.95429,                 1.1504,                 1.0638,                0.91667,                0.93962,                0.95665,                0.79894,                0.62845,                0.49188,                0.91365,               0.007129,               0.007129,               0.007129
                     31,                 0.9567,                 1.1526,                  1.078,                 0.9322,                0.94364,                0.95297,                 0.7972,                 0.6221,                0.48721,                0.91266,                0.00703,                0.00703,                0.00703
                     32,                0.93889,                 1.1497,                 1.0638,                0.92581,                 0.9471,                0.95366,                0.80453,                 0.6258,                0.45665,                 0.9092,               0.006931,               0.006931,               0.006931
                     33,                0.94427,                 1.1278,                 1.0668,                 0.9439,                0.94468,                0.95934,                0.80183,                0.62311,                0.46177,                0.91091,               0.006832,               0.006832,               0.006832
                     34,                0.93795,                 1.1047,                 1.0636,                0.91255,                0.94975,                0.95538,                0.80166,                0.61188,                0.49168,                0.90308,               0.006733,               0.006733,               0.006733
                     35,                0.93894,                 1.1073,                  1.067,                  0.941,                0.93961,                 0.9593,                   0.81,                0.62476,                0.46421,                0.90645,               0.006634,               0.006634,               0.006634
                     36,                0.91719,                 1.0816,                 1.0525,                0.94419,                0.93588,                0.95843,                0.79658,                0.64097,                0.45643,                0.91218,               0.006535,               0.006535,               0.006535
                     37,                0.92727,                 1.1024,                 1.0614,                0.92129,                 0.9316,                0.95422,                0.80425,                0.59678,                 0.4828,                0.89904,               0.006436,               0.006436,               0.006436
                     38,                0.90966,                 1.0687,                 1.0558,                0.93701,                0.93796,                0.95817,                0.80966,                0.59583,                0.46052,                 0.9032,               0.006337,               0.006337,               0.006337
                     39,                 0.9075,                 1.0646,                 1.0506,                0.92585,                0.94783,                0.95465,                0.80805,                0.59418,                0.45157,                0.90047,               0.006238,               0.006238,               0.006238
                     40,                0.91253,                  1.038,                 1.0498,                0.92792,                0.93683,                0.94975,                0.80046,                0.60033,                0.47145,                0.89979,               0.006139,               0.006139,               0.006139
                     41,                0.89035,                 1.0232,                 1.0394,                0.94389,                0.93059,                0.95553,                0.81159,                0.60607,                0.46729,                0.89792,                0.00604,                0.00604,                0.00604
                     42,                0.88691,                 1.0471,                 1.0471,                0.93472,                0.94943,                0.94765,                0.80419,                 0.6014,                 0.4535,                0.90435,               0.005941,               0.005941,               0.005941
                     43,                0.87889,                 1.0031,                 1.0376,                0.94616,                0.95087,                0.95915,                0.81381,                 0.6002,                0.44772,                 0.9076,               0.005842,               0.005842,               0.005842
                     44,                0.88578,                 1.0116,                 1.0396,                 0.9394,                0.93669,                0.95464,                 0.8047,                0.61435,                 0.4606,                0.90884,               0.005743,               0.005743,               0.005743
                     45,                 0.8916,                0.99296,                 1.0391,                0.92498,                0.94569,                0.95691,                0.80816,                0.59519,                0.45136,                0.90386,               0.005644,               0.005644,               0.005644
                     46,                0.87881,                0.98186,                 1.0342,                0.92914,                0.94962,                  0.955,                 0.8097,                0.60851,                  0.465,                0.90437,               0.005545,               0.005545,               0.005545
                     47,                0.85207,                 0.9572,                 1.0307,                0.92979,                0.95346,                0.95742,                 0.8105,                0.59592,                0.45555,                0.89828,               0.005446,               0.005446,               0.005446
                     48,                0.87049,                0.96402,                 1.0379,                0.93192,                0.94144,                 0.9583,                0.80819,                0.62462,                0.46359,                 0.9157,               0.005347,               0.005347,               0.005347
                     49,                0.86455,                0.96735,                 1.0366,                0.93961,                 0.9464,                0.95895,                0.80915,                0.60616,                0.43062,                0.90582,               0.005248,               0.005248,               0.005248
                     50,                0.86057,                0.95001,                 1.0325,                 0.9473,                0.94303,                0.94937,                0.80078,                0.60148,                0.43588,                0.89742,               0.005149,               0.005149,               0.005149
                     51,                0.84893,                0.91711,                 1.0215,                0.93288,                0.94721,                0.95538,                0.81166,                0.60854,                0.43654,                0.89614,                0.00505,                0.00505,                0.00505
                     52,                0.84368,                0.92165,                 1.0213,                0.94744,                0.92494,                0.95652,                0.81242,                0.61223,                0.44451,                0.89924,               0.004951,               0.004951,               0.004951
                     53,                0.84963,                0.92187,                 1.0195,                0.93125,                0.92843,                0.95293,                0.80916,                0.58838,                0.46059,                0.89156,               0.004852,               0.004852,               0.004852
                     54,                0.82872,                0.88972,                 1.0122,                0.93881,                 0.9303,                0.95672,                0.81379,                0.58832,                 0.4346,                0.89685,               0.004753,               0.004753,               0.004753
                     55,                 0.8352,                0.89866,                 1.0182,                0.94302,                0.94459,                0.95698,                0.80939,                0.58813,                0.42156,                0.89605,               0.004654,               0.004654,               0.004654
                     56,                0.82563,                0.86919,                 1.0133,                 0.9395,                0.94624,                0.95738,                0.81711,                0.59277,                0.43387,                0.89409,               0.004555,               0.004555,               0.004555
                     57,                0.82009,                0.90327,                 1.0177,                0.93829,                0.93843,                0.95513,                0.81863,                0.60444,                0.43527,                0.89943,               0.004456,               0.004456,               0.004456
                     58,                0.83133,                0.88088,                 1.0164,                0.93719,                0.94669,                0.95679,                0.81475,                0.60624,                0.42877,                0.89815,               0.004357,               0.004357,               0.004357
                     59,                 0.7984,                0.85116,                0.99709,                0.94913,                0.94242,                0.95512,                0.81605,                0.59964,                 0.4234,                0.89293,               0.004258,               0.004258,               0.004258
                     60,                 0.8084,                0.85342,                 1.0081,                0.94388,                0.94794,                0.96098,                0.82005,                0.58386,                0.40896,                0.89575,               0.004159,               0.004159,               0.004159
                     61,                0.79683,                0.83957,                 1.0059,                0.94398,                0.95449,                0.95967,                0.82366,                0.58263,                0.41344,                0.89248,                0.00406,                0.00406,                0.00406
                     62,                0.80498,                0.82175,                 1.0106,                0.94188,                0.94441,                0.95654,                 0.8253,                0.57793,                0.41885,                0.88719,               0.003961,               0.003961,               0.003961
                     63,                0.80442,                0.81849,                0.99886,                0.94632,                0.94231,                0.95813,                 0.8177,                 0.5897,                0.42507,                0.89256,               0.003862,               0.003862,               0.003862
                     64,                 0.7927,                0.80575,                0.99666,                0.94155,                0.94862,                0.95507,                0.81607,                0.60818,                0.43665,                0.89623,               0.003763,               0.003763,               0.003763
                     65,                0.79307,                 0.8166,                0.99721,                0.92241,                0.95892,                0.96338,                0.82007,                 0.5953,                0.42466,                0.89076,               0.003664,               0.003664,               0.003664
                     66,                0.79012,                0.81385,                0.99626,                0.95319,                0.93613,                0.95508,                0.82049,                0.59937,                0.41901,                0.89183,               0.003565,               0.003565,               0.003565
                     67,                0.78328,                0.80222,                0.98611,                0.95307,                0.94606,                0.95722,                0.81602,                0.59019,                0.41459,                0.89107,               0.003466,               0.003466,               0.003466
                     68,                0.78252,                0.78804,                0.99411,                0.94602,                0.93807,                0.95291,                0.81002,                0.60407,                0.43816,                0.89407,               0.003367,               0.003367,               0.003367
                     69,                0.77581,                0.78533,                0.99056,                 0.9444,                0.94366,                0.95866,                0.81697,                0.60829,                0.41288,                0.89867,               0.003268,               0.003268,               0.003268
                     70,                0.77373,                0.77927,                0.99267,                0.93913,                0.95049,                0.95814,                0.82344,                0.58496,                0.42933,                0.89223,               0.003169,               0.003169,               0.003169
                     71,                0.76071,                0.74893,                0.98583,                0.95001,                0.92994,                0.95902,                0.82646,                0.57826,                0.41475,                0.88423,                0.00307,                0.00307,                0.00307
                     72,                0.76147,                0.75691,                0.98483,                0.93753,                0.94358,                0.96249,                0.82797,                0.57512,                0.41493,                0.88774,               0.002971,               0.002971,               0.002971
                     73,                0.76988,                0.76026,                0.98489,                0.93602,                0.94825,                0.95922,                0.81511,                0.58778,                0.42501,                0.88803,               0.002872,               0.002872,               0.002872
                     74,                0.75095,                0.72878,                0.98089,                0.94678,                0.94927,                0.96057,                0.82274,                0.60292,                0.42104,                0.89557,               0.002773,               0.002773,               0.002773
                     75,                 0.7485,                0.74266,                0.97479,                0.94586,                0.94767,                0.96021,                0.82253,                0.59529,                0.41882,                0.89227,               0.002674,               0.002674,               0.002674
                     76,                0.73982,                 0.7069,                0.97676,                 0.9462,                0.95104,                 0.9614,                0.82057,                0.60519,                0.40829,                0.89926,               0.002575,               0.002575,               0.002575
                     77,                0.74408,                0.73692,                0.97766,                0.94723,                0.95134,                0.95836,                0.82368,                0.59105,                0.40837,                0.89504,               0.002476,               0.002476,               0.002476
                     78,                0.73357,                0.70911,                0.97728,                0.94205,                0.95372,                0.95707,                0.81302,                0.60141,                0.41334,                0.89474,               0.002377,               0.002377,               0.002377
                     79,                 0.7258,                0.69512,                0.97733,                0.94459,                0.95411,                0.95265,                0.81695,                0.59612,                0.41463,                 0.8943,               0.002278,               0.002278,               0.002278
                     80,                0.72506,                0.70094,                 0.9714,                0.94885,                0.94566,                 0.9547,                0.81825,                0.59209,                0.40896,                0.89115,               0.002179,               0.002179,               0.002179
                     81,                0.72777,                0.69169,                0.97347,                0.94294,                0.94985,                0.95646,                0.82222,                0.58576,                0.40726,                0.89111,                0.00208,                0.00208,                0.00208
                     82,                0.71636,                0.68345,                 0.9673,                0.93985,                   0.95,                0.95635,                0.82204,                0.58872,                0.40708,                 0.8906,               0.001981,               0.001981,               0.001981
                     83,                0.72007,                0.67946,                0.97135,                0.94417,                0.94729,                0.95481,                0.82298,                0.58644,                0.40595,                 0.8908,               0.001882,               0.001882,               0.001882
                     84,                0.69963,                0.67245,                0.96198,                0.93838,                0.95358,                0.95741,                 0.8225,                0.58716,                0.40928,                0.89223,               0.001783,               0.001783,               0.001783
                     85,                0.71184,                0.67122,                0.96429,                0.94332,                0.95379,                0.95677,                0.82178,                0.58305,                0.39885,                0.88954,               0.001684,               0.001684,               0.001684
                     86,                0.70059,                0.66766,                0.96643,                0.93505,                0.95094,                0.95379,                0.82084,                0.58907,                0.40714,                0.89052,               0.001585,               0.001585,               0.001585
                     87,                0.69906,                0.65006,                0.96013,                0.94162,                0.94691,                0.95025,                0.81427,                0.58802,                0.42037,                0.89013,               0.001486,               0.001486,               0.001486
                     88,                0.70551,                0.65723,                0.96309,                0.93756,                0.94848,                0.95454,                 0.8209,                0.58971,                0.41483,                0.89116,               0.001387,               0.001387,               0.001387
                     89,                0.68309,                0.62632,                0.95525,                0.93851,                0.94929,                0.95337,                0.82312,                0.58567,                 0.4063,                0.89088,               0.001288,               0.001288,               0.001288
                     90,                0.65601,                0.51201,                0.94043,                0.95939,                0.93482,                0.95242,                0.81206,                0.59728,                0.42098,                0.89733,               0.001189,               0.001189,               0.001189
                     91,                 0.6412,                 0.4927,                0.93597,                0.94734,                0.93886,                0.94928,                 0.8066,                0.60616,                 0.4225,                0.89773,                0.00109,                0.00109,                0.00109
                     92,                0.63822,                0.49379,                0.94077,                0.95113,                0.93705,                0.95009,                0.81182,                0.60278,                 0.4237,                0.89594,               0.000991,               0.000991,               0.000991
                     93,                0.62074,                0.47722,                0.92603,                0.93613,                0.95545,                0.95517,                 0.8192,                0.60116,                0.41845,                0.89516,               0.000892,               0.000892,               0.000892
                     94,                0.62106,                0.46765,                0.93293,                0.93832,                0.95722,                0.95443,                0.81742,                0.60302,                0.41189,                0.89546,               0.000793,               0.000793,               0.000793
                     95,                0.61617,                0.45917,                0.92708,                0.95387,                0.94086,                0.95625,                 0.8157,                0.60012,                0.40816,                0.89479,               0.000694,               0.000694,               0.000694
                     96,                0.60759,                0.43879,                0.92064,                0.94738,                0.94893,                 0.9581,                0.82154,                 0.6028,                0.41457,                0.89866,               0.000595,               0.000595,               0.000595
                     97,                 0.6076,                0.43417,                  0.916,                0.94874,                0.94646,                0.95798,                0.82333,                0.59681,                0.40672,                0.89652,               0.000496,               0.000496,               0.000496
                     98,                0.60284,                0.44128,                0.92715,                0.94909,                0.94875,                0.95825,                0.82788,                0.59629,                0.40219,                0.89514,               0.000397,               0.000397,               0.000397
                     99,                0.59383,                0.43297,                0.92263,                0.95046,                0.94599,                0.95576,                0.82488,                0.59459,                0.40772,                0.89472,               0.000298,               0.000298,               0.000298
